id_jur,nm_jur,nm_intl_jur,u_sma,u_smk,u_pt,u_slb,id_jenj_didik,id_induk_jurusan,id_kel_bidang
"20406     ","Teknik Elektronika",NULL,0,0,1,0,22,NULL,12
"20501     ",Elektronika,NULL,0,0,1,0,21,NULL,12
"20503     ","Teknik Elektro",NULL,0,0,1,0,21,NULL,12
"20504     ","Teknik Listrik PDD 1",NULL,0,0,1,0,21,NULL,12
"20505     ","Teknik Listrik",NULL,0,0,1,0,21,NULL,12
"20506     ","Elektro Indutri PDD",NULL,0,0,1,0,21,NULL,12
"20601     ",Elektronika,NULL,0,0,1,0,20,NULL,12
"20603     ","Instalasi Tenaga Listrik",NULL,0,0,1,0,20,NULL,12
"20604     ","INSTRU meteorologi klimatologi&geofisika",NULL,0,0,1,0,20,NULL,12
"21001     ","Ilmu Teknik Mesin",NULL,0,0,1,0,40,NULL,12
"21012     ","Teknik Bioenergi dan Kemurgi",NULL,0,0,1,0,30,NULL,12
"21101     ","Energi Terbarukan",NULL,0,0,1,0,35,NULL,12
"21102     ","Ketahanan Energi",NULL,0,0,1,0,35,NULL,12
"21103     ","Teknik Mesin",NULL,0,0,1,0,35,NULL,12
"21201     ","Teknik Mesin",NULL,0,0,1,0,30,NULL,12
"21206     ","Teknik Energi",NULL,0,0,1,0,30,NULL,12
"21207     ","Transportasi Laut",NULL,0,0,1,0,30,NULL,12
"21271     ","Teknik Mesin K. Sintang",NULL,0,0,1,0,30,NULL,12
"21301     ","Mekanik Industri Dan Desain",NULL,0,0,1,0,23,NULL,12
"21302     ","Teknik Mesin dan Manufaktur",NULL,0,0,1,0,23,NULL,12
"21303     ","Teknik Otomotif Elektronik",NULL,0,0,1,0,23,NULL,12
"21305     ","Teknik Pendingin dan Tata Udara",NULL,0,0,1,0,23,NULL,12
"21306     ","Teknik Energi",NULL,0,0,1,0,23,NULL,12
"21307     ",Manufaktur,NULL,0,0,1,0,23,NULL,12
"21308     ","Konservasi Energi",NULL,0,0,1,0,23,NULL,12
"21312     ","Teknik Mekatronika",NULL,0,0,1,0,23,NULL,12
"21313     ","Pengelolaan dan Perawatan Alat Berat",NULL,0,0,1,0,23,NULL,12
"21401     ","Mesin Produksi",NULL,0,0,1,0,22,NULL,12
"21402     ","Mesin Industri",NULL,0,0,1,0,22,NULL,12
