id_wil,nm_wil,asal_wil,kode_bps,kode_dagri,kode_keu,id_induk_wilayah,id_level_wil,id_negara
"021013  ","Kec. Ujung Jaya               ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
"021014  ","Kec. Conggeang                ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
"021015  ","Kec. Paseh                    ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
"021016  ","Kec. Cimalaka                 ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
"021017  ","Kec. Tanjungkerta             ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
"021018  ","Kec. Buah Dua                 ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
"021019  ","Kec. Ganeas                   ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
"021020  ","Kec. Jati Gede                ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
"021023  ","Kec. Pamulihan                ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
"021024  ","Kec. Cisitu                   ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
"021025  ","Kec. Jatinunggal              ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
"021026  ","Kec. Cisarua                  ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
"021027  ","Kec. Tanjungmedar             ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
"021028  ","Kec. Surian                   ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
"021029  ","Kec. Sukasari                 ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
"021100  ","Kab. Garut                    ","NULL    ",NULL,NULL,NULL,"020000  ",2,ID
"021101  ","Kec. Talegong                 ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021102  ","Kec. Cisewu                   ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021103  ","Kec. Bungbulang               ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021104  ","Kec. Pamulihan                ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021105  ","Kec. Pakenjeng                ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021106  ","Kec. Cikelet                  ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021107  ","Kec. Pameungpeuk              ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021108  ","Kec. Cibalong                 ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021109  ","Kec. Cisompet                 ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021110  ","Kec. Peundeuy                 ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021111  ","Kec. Singajaya                ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021112  ","Kec. Cikajang                 ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021113  ","Kec. Banjarwangi              ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021114  ","Kec. Cilawu                   ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021115  ","Kec. Bayongbong               ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021116  ","Kec. Cisurupan                ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021117  ","Kec. Samarang                 ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021119  ","Kec. Garut Kota               ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021120  ","Kec. Karangpawitan            ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021121  ","Kec. Wanaraja                 ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021122  ","Kec. Sukawening               ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021123  ","Kec. Banyuresmi               ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021124  ","Kec. Leles                    ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021125  ","Kec. Leuwigoong               ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021126  ","Kec. Cibatu                   ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021127  ","Kec. Cibiuk                   ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021128  ","Kec. Kadungora                ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021129  ","Kec. Blubur Limbangan         ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021130  ","Kec. Selaawi                  ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021131  ","Kec. Malangbong               ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021132  ","Kec. Mekarmukti               ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021133  ","Kec. Caringin                 ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021134  ","Kec. Cihurip                  ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021135  ","Kec. Sukaresmi                ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021136  ","Kec. Pasirwangi               ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021137  ","Kec. Karangtengah             ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021138  ","Kec. Kersamanah               ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021139  ","Kec. Tarogong Kaler           ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021140  ","Kec. Tarogong Kidul           ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021141  ","Kec. Cigedug                  ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021142  ","Kec. Sucinaraja               ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021143  ","Kec. Pangatikan               ","NULL    ",NULL,NULL,NULL,"021100  ",3,ID
"021200  ","Kab. Tasikmalaya              ","NULL    ",NULL,NULL,NULL,"020000  ",2,ID
"021201  ","Kec. Cipatujah                ","NULL    ",NULL,NULL,NULL,"021200  ",3,ID
"021202  ","Kec. Karangnunggal            ","NULL    ",NULL,NULL,NULL,"021200  ",3,ID
"021203  ","Kec. Cikalong                 ","NULL    ",NULL,NULL,NULL,"021200  ",3,ID
"021204  ","Kec. Panca Tengah             ","NULL    ",NULL,NULL,NULL,"021200  ",3,ID
"021205  ","Kec. Cikatomas                ","NULL    ",NULL,NULL,NULL,"021200  ",3,ID
"021206  ","Kec. Cibalong                 ","NULL    ",NULL,NULL,NULL,"021200  ",3,ID
